"Date","Followers","Follower_Change","Num_Tweets"
2018-01-15,46671052,43494,7
2018-01-14,46627558,46095,9
2018-01-13,46581463,46709,7
2018-01-12,46534754,96037,14
2018-01-11,46438717,57063,8
2018-01-10,46381654,62461,8
2018-01-09,46319193,70474,5
2018-01-08,46248719,81024,7
2018-01-07,46167695,102696,5
2018-01-06,46064999,78854,5
2018-01-05,45986145,150712,9
2018-01-04,45835433,141258,5
2018-01-03,45694175,103086,15
2018-01-02,45591089,74094,3
2018-01-01,45516995,44840,8
2017-12-31,45472155,52673,6
2017-12-30,45419482,56023,8
2017-12-29,45363459,108538,10
2017-12-28,45254921,76181,3
2017-12-27,45178740,38671,3
2017-12-26,45140069,45127,3
2017-12-25,45094942,37712,6
2017-12-24,45057230,37864,6
2017-12-23,45019366,30053,11
2017-12-22,44989313,78625,-29
2017-12-21,44910688,49287,5
2017-12-20,44861401,32616,5
2017-12-19,44828785,29619,13
2017-12-18,44799166,28430,3
2017-12-17,44770736,25561,3
2017-12-16,44745175,27912,9
2017-12-15,44717263,114130,7
2017-12-14,44603133,92786,4
2017-12-13,44510347,64282,6
2017-12-12,44446065,60106,1
2017-12-11,44385959,38140,3
2017-12-10,44347819,45656,11
2017-12-09,44302163,55503,9
2017-12-08,44246660,43371,10
2017-12-07,44203289,80099,5
2017-12-06,44123190,60416,2
2017-12-05,44062774,57961,4
2017-12-04,44004813,60879,10
2017-12-03,43943934,161969,8
2017-12-02,43781965,71725,6
2017-12-01,43710240,78768,11
2017-11-30,43631472,86473,20
2017-11-29,43544999,59566,18
2017-11-28,43485433,55936,5
2017-11-27,43429497,57494,4
2017-11-26,43372003,58668,5
2017-11-25,43313335,54935,6
2017-11-24,43258400,54241,11
2017-11-23,43204159,59793,11
2017-11-22,43144366,62975,2
2017-11-21,43081391,63926,2
2017-11-20,43017465,67810,6
2017-11-19,42949655,60328,3
2017-11-18,42889327,59799,5
2017-11-17,42829528,75526,8
2017-11-16,42754002,72363,14
2017-11-15,42681639,54698,6
2017-11-14,42626941,62711,8
2017-11-13,42564230,97633,3
2017-11-12,42466597,59058,8
2017-11-11,42407539,49086,6
2017-11-10,42358453,71853,6
2017-11-09,42286600,128068,3
2017-11-08,42158532,79337,17
2017-11-07,42079195,67775,7
2017-11-06,42011420,89260,5
2017-11-05,41922160,99741,6
2017-11-04,41822419,105397,16
2017-11-03,41717022,55942,13
2017-11-02,41661080,104971,19
2017-11-01,41556109,66086,17
2017-10-31,41490023,54940,4
2017-10-30,41435083,63536,6
2017-10-29,41371547,52238,9
2017-10-28,41319309,44314,15
2017-10-27,41274995,49898,9
2017-10-26,41225097,99430,16
2017-10-25,41125667,88619,8
2017-10-24,41037048,63245,4
2017-10-23,40973803,57127,3
2017-10-22,40916676,51381,14
2017-10-21,40865295,52320,7
2017-10-20,40812975,47858,10
2017-10-19,40765117,43427,16
2017-10-18,40721690,45158,11
2017-10-17,40676532,43845,7
2017-10-16,40632687,53036,4
2017-10-15,40579651,51765,9
2017-10-14,40527886,57519,16
2017-10-13,40470367,62729,10
2017-10-12,40407638,78005,14
2017-10-11,40329633,59778,10
2017-10-10,40269855,57847,5
2017-10-09,40212008,64447,11
2017-10-08,40147561,57289,12
2017-10-07,40090272,56077,0
2017-10-06,40034195,53379,12
2017-10-05,39980816,29430,7
2017-10-04,39951386,66918,11
2017-10-03,39884468,117665,1
2017-10-02,39766803,92050,8
2017-10-01,39674753,55342,25
2017-09-30,39619411,68744,16
2017-09-29,39550667,96096,10
2017-09-28,39454571,91138,9
2017-09-27,39363433,102518,15
2017-09-26,39260915,111199,14
2017-09-25,39149716,121513,10
2017-09-24,39028203,90314,14
2017-09-23,38937889,84139,11
2017-09-22,38853750,98019,6
2017-09-21,38755731,77616,23
2017-09-20,38678115,83365,11
2017-09-19,38594750,65678,8
2017-09-18,38529072,77054,14
2017-09-17,38452018,66162,3
2017-09-16,38385856,73180,13
2017-09-15,38312676,92771,11
2017-09-14,38219905,63832,6
2017-09-13,38156073,69485,5
2017-09-12,38086588,66365,2
2017-09-11,38020223,71927,9
2017-09-10,37948296,71549,4
2017-09-09,37876747,73297,7
2017-09-08,37803450,95173,11
2017-09-07,37708277,82879,10
2017-09-06,37625398,91880,6
2017-09-05,37533518,82413,2
2017-09-04,37451105,98584,5
2017-09-03,37352521,70638,10
2017-09-02,37281883,62899,8
2017-09-01,37218984,96975,2
2017-08-31,37122009,83872,8
2017-08-30,37038137,81057,6
2017-08-29,36957080,80100,4
2017-08-28,36876980,70575,11
2017-08-27,36806405,70547,8
2017-08-26,36735858,66212,14
2017-08-25,36669646,83869,11
2017-08-24,36585777,66709,6
2017-08-23,36519068,69785,6
2017-08-22,36449283,70220,6
2017-08-21,36379063,71536,2
2017-08-20,36307527,73567,7
2017-08-19,36233960,85414,10
2017-08-18,36148546,111802,10
2017-08-17,36036744,91881,16
2017-08-16,35944863,82892,5
2017-08-15,35861971,73461,12
2017-08-14,35788510,86627,4
2017-08-13,35701883,95002,8
2017-08-12,35606881,98070,9
2017-08-11,35508811,74727,6
2017-08-10,35434084,67428,13
2017-08-09,35366656,56907,9
2017-08-08,35309749,42211,13
2017-08-07,35267538,44705,4
2017-08-06,35222833,42250,9
2017-08-05,35180583,45087,13
2017-08-04,35135496,57201,10
2017-08-03,35078295,54616,5
2017-08-02,35023679,64440,3
2017-08-01,34959239,59855,4
2017-07-31,34899384,59244,1
2017-07-30,34840140,52849,13
2017-07-29,34787291,77733,9
2017-07-28,34709558,75027,10
2017-07-27,34634531,105606,10
2017-07-26,34528925,71260,17
2017-07-25,34457665,63109,11
2017-07-24,34394556,68424,5
2017-07-23,34326132,64937,14
2017-07-22,34261195,66121,6
2017-07-21,34195074,60200,3
2017-07-20,34134874,71192,3
2017-07-19,34063682,69154,7
2017-07-18,33994528,68298,2
2017-07-17,33926230,62169,9
2017-07-16,33864061,60524,7
2017-07-15,33803537,64711,13
2017-07-14,33738826,12612,4
2017-07-13,33726214,8425,13
2017-07-12,33717789,62725,8
2017-07-11,33655064,60877,10
2017-07-10,33594187,62622,11
2017-07-09,33531565,63260,5
2017-07-08,33468305,69725,7
2017-07-07,33398580,23433,4
2017-07-06,33375147,67806,4
2017-07-05,33307341,77297,4
2017-07-04,33230044,78066,12
2017-07-03,33151978,86483,4
2017-07-02,33065495,51841,12
2017-07-01,33013654,58242,6
2017-06-30,32955412,76732,13
2017-06-29,32878680,-29336,10
2017-06-28,32908016,44654,11
2017-06-27,32863362,47217,12
2017-06-26,32816145,45298,1
2017-06-25,32770847,43242,5
2017-06-24,32727605,43919,5
2017-06-23,32683686,9342,15
2017-06-22,32674344,44409,3
2017-06-21,32629935,45008,11
2017-06-20,32584927,46135,11
2017-06-19,32538792,48777,7
2017-06-18,32490015,46999,1
2017-06-17,32443016,126035,9
2017-06-16,32316981,124922,6
2017-06-15,32192059,47344,3
2017-06-14,32144715,35611,11
2017-06-13,32109104,33706,5
2017-06-12,32075398,34540,8
2017-06-11,32040858,32315,1
2017-06-10,32008543,44105,7
2017-06-09,31964438,82452,0
2017-06-08,31881986,102386,2
2017-06-07,31779600,125109,12
2017-06-06,31654491,122377,9
2017-06-05,31532114,140517,3
2017-06-04,31391597,112357,4
2017-06-03,31279240,97444,9
2017-06-02,31181796,116001,4
2017-06-01,31065795,106737,9
2017-05-31,30959058,45809,6
2017-05-30,30913249,81892,4
2017-05-29,30831357,77012,10
2017-05-28,30754345,75974,7
2017-05-27,30678371,82170,4
2017-05-26,30596201,167004,4
2017-05-25,30429197,98209,2
2017-05-24,30330988,116264,4
2017-05-23,30214724,111917,2
2017-05-22,30102807,104420,3
2017-05-21,29998387,100704,2
