favorite_count,Followers,Follower_Change,Num_Tweets,Year,Month,Week,Day,Hour,Holiday,Word_Count,Any_urls,Character_Count,avg_word_len,Num_Stopwords,Any_Hashtags,Num_Hashtags,Any_Mentions,Num_Mentions,Num_Upper,Upper,Num_Exclaim,Any_Clinton,Any_Obama,Any_MAGA,Any_ad,FakeNews,Any_Immigration,JoinMe,Conference,Rally,Welcomes,Violence,tf,idf,tfidf,Sentiment,Subjectivity
90729,54595694.0,16032.0,3,2018,9,38,23,22,0,33,0,190,4.787878787878788,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.009433962264150943,6.103323991965967,0.05757852822609402,0.2,0.5
91973,54595694.0,16032.0,3,2018,9,38,23,20,0,38,0,202,4.342105263157895,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0077777777777777776,5.033625953159733,0.03915042408013126,0.07878787878787878,0.2515151515151515
105536,54595694.0,16032.0,3,2018,9,38,23,20,0,14,0,85,5.142857142857143,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02040816326530612,5.53619439454689,0.11298355907238551,0.55,0.6000000000000001
64616,54579662.0,26029.0,27,2018,9,38,22,19,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
67949,54579662.0,26029.0,27,2018,9,38,22,14,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
104207,54579662.0,26029.0,27,2018,9,38,22,14,0,16,0,76,3.8125,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02272727272727273,6.313183749872333,0.14348144886073486,0.11212121212121212,0.21818181818181817
102047,54579662.0,26029.0,27,2018,9,38,22,3,0,5,1,22,4.5,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,5.763984165232557,0.44338339732558135,0.0,0.0
56599,54579662.0,26029.0,27,2018,9,38,22,1,0,12,1,65,4.909090909090909,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03125,5.137541843144771,0.16054818259827408,0.0,0.0
60180,54579662.0,26029.0,27,2018,9,38,22,1,0,7,1,32,3.7142857142857144,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,5.715788412967854,0.439676031766758,0.5,0.6
34877,54553633.0,7551.0,17,2018,9,38,21,21,0,12,1,57,4.6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303030303030304,5.776942437645171,0.17505886174682336,0.0,0.0
53247,54553633.0,7551.0,17,2018,9,38,21,20,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
46287,54553633.0,7551.0,17,2018,9,38,21,20,0,7,1,38,5.333333333333333,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05000000000000001,6.582061712766952,0.32910308563834767,0.0,0.0
44190,54553633.0,7551.0,17,2018,9,38,21,17,0,37,1,230,5.542857142857143,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007539682539682541,5.911487298707796,0.04457073756962228,0.1111111111111111,0.3333333333333333
93620,54553633.0,7551.0,17,2018,9,38,21,15,0,41,0,227,4.560975609756097,20,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.009174311926605505,5.944820448659419,0.054539637143664395,0.0,0.0
68386,54553633.0,7551.0,17,2018,9,38,21,14,0,48,0,264,4.520833333333333,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.006944444444444446,6.331880794610139,0.04397139440701486,0.24444444444444446,0.8333333333333334
57596,54553633.0,7551.0,17,2018,9,38,21,14,0,45,0,279,5.222222222222222,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006008359456635315,6.44769777982884,0.03874008592896114,-0.06249999999999999,0.6
82151,54553633.0,7551.0,17,2018,9,38,21,13,0,20,0,105,4.3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986013986013988,5.621877281098749,0.0786276542811014,0.0,0.0
69954,54553633.0,7551.0,17,2018,9,38,21,13,0,13,0,75,4.846153846153846,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01694915254237288,5.493430342853987,0.09310898886193199,0.0,0.0
112493,54553633.0,7551.0,17,2018,9,38,21,13,0,53,0,273,4.25,27,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.006289308176100628,6.192284525391443,0.0389451856942858,-0.03333333333333329,0.5388888888888889
115346,54553633.0,7551.0,17,2018,9,38,21,12,0,48,0,266,4.5625,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006279069767441861,6.1889053910980465,0.03886056873480169,0.17904761904761907,0.2928571428571428
80251,54553633.0,7551.0,17,2018,9,38,21,4,0,5,1,26,5.5,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,4.880866961822821,0.32539113078818804,0.5,0.75
49497,54553633.0,7551.0,17,2018,9,38,21,3,0,11,1,49,3.9,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.038461538461538464,6.3335936601599645,0.24359975615999865,0.5,0.6
54005,54553633.0,7551.0,17,2018,9,38,21,3,0,4,1,25,5.5,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0.08333333333333333,3.9339224796706036,0.3278268733058836,0.0,0.0
